Company,City,employee_as_of,Remote_Flag,years_at_company,years_of_exp,total_comp,base_salary,stock_rsu_comp,annual_target_bonus
PwC,"San Francisco, CA",Offer from 03/20/2023,Office,0 yrs,0 yrs,"$95,375","$85,000",--,"$10,375"
Avanade,"Chicago, IL",Employee as of 03/20/2023,Remote,2 yrs,10 yrs,"$98,000","$98,000",--,--
LinkedIn,"San Francisco, CA",Employee as of 03/20/2023,Hybrid,1 yrs,5 yrs,"$163,750","$122,500","$28,750","$12,500"
Best Buy,Minneapolis-St. Paul,Employee as of 03/20/2023,Hybrid,2-4 yrs,5-10 yrs,"$105,000","$95,000",--,"$10,000"
American Systems,"Chantilly, VA",Employee as of 03/20/2023,Remote,1 yrs,6 yrs,"$126,000","$121,000",--,"$5,000"
Bridgewater Associates,"Westport, CT",Employee as of 03/19/2023,Office,1 yr,1 yr,"$110,000","$85,000",--,"$25,000"
Goldman Sachs,"New York, NY",Employee as of 03/19/2023,Hybrid,5-10 yrs,5-10 yrs,"$145,000","$145,000",--,--
One Medical,"San Francisco, CA",Employee as of 03/17/2023,Remote,1 yrs,5 yrs,"$135,000","$126,000","$9,000",--
Capital One,"West McLean, VA",Employee as of 03/17/2023,Office,2 yrs,2 yrs,"$123,300","$120,000",--,"$3,300"
Nike,Portland,Employee as of 03/17/2023,Hybrid,0-1 yrs,0-1 yrs,"$83,600","$76,000",--,"$7,600"
Apple,"Los Angeles, CA",Employee as of 03/17/2023,Hybrid,1 yrs,6 yrs,"$163,000","$163,000",--,--
Valera health,"Seattle, WA",Employee as of 03/17/2023,Remote,1 yrs,5 yrs,"$130,000","$120,000",--,"$10,000"
KPMG,"New York, NY",Employee as of 03/17/2023,Remote,2 yrs,2 yrs,"$87,800","$87,000",--,$800
McDonald's,"Chicago, IL",Employee as of 03/17/2023,Remote,1 yrs,8 yrs,"$130,000","$130,000",--,--
Google,"San Francisco, CA",Employee as of 03/17/2023,Office,3 yrs,5 yrs,"$265,500","$183,000","$55,000","$27,500"
SAP,"Philadelphia, PA",Employee as of 03/17/2023,Office,4 yrs,4 yrs,"$122,100","$90,100","$20,000","$12,000"
Delta Air Lines,"Atlanta, GA",Employee as of 03/17/2023,Hybrid,3 yrs,3 yrs,"$86,720","$82,720",--,"$4,000"
Expedia,"Seattle, WA",Employee as of 03/16/2023,Office,6 yrs,10 yrs,"$136,000","$136,000",--,--
Microsoft,"Seattle, WA",Employee as of 03/16/2023,Remote,6 yrs,20 yrs,"$245,000","$180,000","$40,000","$25,000"
Capital One,"Richmond, VA",Employee as of 03/16/2023,Hybrid,5-10 yrs,5-10 yrs,"$192,000","$172,000",--,"$20,000"
hidden,"Miami, FL",Employee as of 03/16/2023,Remote,2-4 yrs,2-4 yrs,"$88,000","$88,000",--,--
Chewy,"Seattle, WA",Employee as of 03/16/2023,Remote,1 yrs,3 yrs,"$120,000","$100,000","$20,000",--
Square,"San Francisco, CA",Employee as of 03/16/2023,Hybrid,3 yrs,7 yrs,"$213,000","$155,000","$58,000",--
ICF,"Austin, TX",Employee as of 03/16/2023,Hybrid,1 yr,1 yr,"$58,000","$58,000",--,--
Salesforce,"New York, NY",Employee as of 03/15/2023,Office,1 yrs,4 yrs,"$159,000","$145,000",--,"$14,000"
Capital One,"Washington, DC",Employee as of 03/15/2023,Hybrid,10 yrs,10 yrs,"$380,000","$269,000","$51,000","$60,000"
FDM Group,"Oklahoma City, OK",Employee as of 03/15/2023,Remote,3 yrs,3 yrs,"$50,000","$50,000",--,--
Fidelity Investments,"Dallas, TX",Employee as of 03/15/2023,Hybrid,1 yrs,3 yrs,"$115,800","$100,800",--,"$15,000"
Credit One Bank,"Las Vegas, NV",Employee as of 03/15/2023,Office,0 yrs,3 yrs,"$65,000","$65,000",--,--
Expeditors,"Seattle, WA",Employee as of 03/15/2023,Office,5-10 yrs,5-10 yrs,"$120,000","$120,000",--,--
Fidelity Investments,"Boston, MA",Employee as of 03/15/2023,Office,5-10 yrs,11+ yrs,"$250,000","$170,000","$30,000","$50,000"
hidden,"San Francisco, CA",Employee as of 03/15/2023,Hybrid,2 yrs,3 yrs,"$168,235","$160,000","$8,235",y1
Google,"New York, NY",Employee as of 03/15/2023,Office,3 yrs,15 yrs,"$340,000","$227,000","$70,000","$43,000"
Infosys,"Los Angeles, CA",Employee as of 03/15/2023,Remote,2 yrs,2 yrs,"$62,000","$58,000",--,"$4,000"
Northrop Grumman,"Los Angeles, CA",Employee as of 03/15/2023,Office,0 yrs,0 yrs,"$76,000","$75,000",--,"$1,000"
Emerson,"Sidney, OH",Offer from 03/14/2023,Hybrid,0 yrs,7 yrs,"$73,000","$73,000",--,--
hidden,"Huntsville, AL",Employee as of 03/14/2023,Hybrid,3 yrs,3 yrs,"$81,000","$79,000",--,"$2,000"
Unity,"San Francisco, CA",Employee as of 03/14/2023,Office,2 yrs,5 yrs,"$189,000","$149,000","$40,000",--
CACI International,"Washington, DC",Employee as of 03/14/2023,Hybrid,2 yrs,2 yrs,"$75,000","$75,000",--,--
Blue Cross Blue Shield Association,"Tulsa, OK",Offer from 03/14/2023,Office,0 yrs,7 yrs,"$107,250","$100,000",--,"$7,250"
Fiserv,"Frisco, TX",Offer from 03/14/2023,Office,0 yrs,8 yrs,"$118,000","$118,000",--,--
Accenture,"Arlington, VA",Employee as of 03/14/2023,Hybrid,2 yrs,2 yrs,"$86,000","$83,000","$2,000","$1,000"
hidden,"Austin, TX",Employee as of 03/13/2023,Remote,0-1 yrs,5-10 yrs,"$125,000","$125,000",--,--
AT&T,"Los Angeles, CA",Employee as of 03/13/2023,Remote,1 yrs,5 yrs,"$200,000","$150,000","$30,000","$20,000"
Hawaiian Airlines,"Honolulu, HI",Employee as of 03/13/2023,Office,1 yrs,3 yrs,"$90,000","$85,000",--,"$5,000"
Block,"New York, NY",Employee as of 03/13/2023,Hybrid,2 yrs,3 yrs,"$160,500","$135,500","$25,000",--
Airbnb,"San Francisco, CA",Employee as of 03/13/2023,Remote,3 yrs,8 yrs,"$283,000","$185,000","$98,000",--
hidden,"Santa Monica, CA",Employee as of 03/13/2023,Remote,2 yrs,4 yrs,"$83,400","$83,400",--,--
UPMC,"Pittsburgh, PA",Employee as of 03/13/2023,Hybrid,5 yrs,15 yrs,"$80,000","$80,000",--,--
Cornerstone Research,"Washington, DC",Employee as of 03/13/2023,Hybrid,2 yrs,2 yrs,"$118,250","$107,500",--,"$10,750"
Wayfair,"Boston, MA",Employee as of 03/13/2023,Hybrid,5 yrs,5 yrs,"$157,000","$130,000","$27,000",--
Gap,"New York, NY",Employee as of 03/12/2023,Hybrid,4 yrs,10 yrs,"$95,000","$95,000",--,--
CarMax,"Richmond, VA",Employee as of 03/12/2023,Hybrid,1 yrs,6 yrs,"$117,000","$100,000","$7,000","$10,000"
Marathon Petroleum,"Findlay, OH",Employee as of 03/12/2023,Hybrid,11 yrs,11 yrs,"$132,000","$120,000",--,"$12,000"
Google,"San Francisco, CA",Employee as of 03/12/2023,Office,1 yrs,4 yrs,"$202,000","$140,000","$41,000","$21,000"
McKinsey,"New York, NY",Offer from 03/12/2023,Office,0 yrs,0 yrs,"$133,250","$112,000",--,"$21,250"
Amazon,"Seattle, WA",Employee as of 03/11/2023,Office,3 yrs,6 yrs,"$120,000","$120,000",--,--
Comcast,"Philadelphia, PA",Employee as of 03/11/2023,Remote,1 yrs,3 yrs,"$107,300","$99,300",--,"$8,000"
General Motors,"Detroit, MI",Employee as of 03/11/2023,Office,1 yrs,3 yrs,"$110,000","$110,000",--,--
Waystar,"Denver, CO",Employee as of 03/11/2023,Remote,11 yrs,19 yrs,"$122,000","$111,000",--,"$11,000"
General Motors,"Detroit, MI",Employee as of 03/11/2023,Hybrid,0 yrs,3 yrs,"$110,000","$100,000",--,"$10,000"
Google,"Miami, FL",Employee as of 03/10/2023,Hybrid,5 yrs,7 yrs,"$315,000","$180,000","$100,000","$35,000"
Guidehouse,"Washington, DC",Employee as of 03/10/2023,Remote,2 yrs,4 yrs,"$68,000","$65,000",--,"$3,000"
Nordstrom,"Seattle, WA",Employee as of 03/10/2023,Remote,4 yrs,10 yrs,"$115,000","$115,000",--,--
hidden,"New York, NY",Employee as of 03/10/2023,Hybrid,2-4 yrs,2-4 yrs,"$110,000","$100,000",--,"$10,000"
Healthfirst,"New York, NY",Employee as of 03/10/2023,Remote,0 yr,1 yr,"$93,000","$90,000",--,"$3,000"
Amazon,"Boston, MA",Offer from 03/10/2023,Office,0 yrs,4 yrs,"$140,000","$140,000",--,--
"University of Nevada, Reno","Reno, NV",Employee as of 03/09/2023,Office,1 yr,1 yr,"$64,000","$64,000",--,--
Prime Healthcare,"Ontario, CA",Employee as of 03/09/2023,Office,2 yrs,2 yrs,"$76,128","$76,128",--,--
IBM,"Charlotte, NC",Employee as of 03/09/2023,Remote,3 yrs,3 yrs,"$108,500","$108,500",--,--
Fulton County Schools,"Atlanta, GA",Employee as of 03/09/2023,Office,1 yr,1 yr,"$70,000","$70,000",--,--
Nationwide,"Scottsdale, AZ",Employee as of 03/09/2023,Office,6 yrs,9 yrs,"$120,000","$120,000",--,--
Intrado,"Sacramento, CA",Employee as of 03/09/2023,Remote,3 yrs,3 yrs,"$42,016","$42,016",--,--
CAI,"Chicago, IL",Employee as of 03/09/2023,Office,1 yrs,2 yrs,"$74,000","$74,000",--,--
Liberty Mutual,"Seattle, WA",Employee as of 03/09/2023,Remote,2 yrs,3 yrs,"$86,250","$81,750",--,"$4,500"
Ernst and Young,"San Jose, CA",Employee as of 03/09/2023,Hybrid,0 yrs,0 yrs,"$100,000","$95,000",--,"$5,000"
UBS,"New York, NY",Employee as of 03/09/2023,Office,3 yrs,3 yrs,"$137,000","$120,000",--,"$17,000"
VanEck,"New York, NY",Employee as of 03/08/2023,Office,1 yr,1 yr,"$120,000","$105,000",--,"$15,000"
Centene,"Dallas, TX",Offer from 03/08/2023,Remote,0 yrs,8 yrs,"$70,000","$70,000",--,--
Hagerty consulting,"San Diego, CA",Employee as of 03/08/2023,Office,1 yrs,2 yrs,"$70,000","$70,000",--,--
Toptal,"New York, NY",Employee as of 03/08/2023,Remote,1 yrs,2 yrs,"$70,000","$70,000",--,--
American Express,"Phoenix, AZ",Offer from 03/08/2023,Office,0 yr,1 yr,"$80,000","$70,000",--,"$10,000"
McKinsey,"New York, NY",Employee as of 03/08/2023,Office,3 yrs,3 yrs,"$165,000","$145,000",--,"$20,000"
Dell Technologies,"San Jose, CA",Employee as of 03/08/2023,Remote,2 yrs,5 yrs,"$95,000","$92,000",--,"$3,000"
Amazon,"Washington, DC",Employee as of 03/08/2023,Remote,1 yrs,10 yrs,"$190,000","$150,000","$22,500","$17,500"
MidPen Housing Co,"Foster City, CA",Employee as of 03/08/2023,Hybrid,1 yrs,3 yrs,"$110,000","$107,000",--,"$3,000"
Cerner,"Kansas City, MO",Employee as of 03/08/2023,Remote,2 yrs,3 yrs,"$69,000","$69,000",--,--
MTX Group,"Arlington Heights, IL",Employee as of 03/08/2023,Remote,1 yrs,4 yrs,"$125,000","$125,000",--,--
YoungWilliams,"Ridgeland, MS",Employee as of 03/08/2023,Office,6 yrs,6 yrs,"$100,000","$100,000",--,--
Google,"San Francisco, CA",Employee as of 03/08/2023,Office,2 yrs,5 yrs,"$199,000","$149,000","$35,000","$15,000"
hidden,"Austin, TX",Employee as of 03/07/2023,Remote,0-1 yrs,0-1 yrs,"$80,000","$65,000","$5,000","$10,000"
Ernst and Young,"Atlanta, GA",Employee as of 03/07/2023,Office,3 yrs,3 yrs,"$121,000","$105,000",--,"$16,000"
hidden,"Ann Arbor, MI",Employee as of 03/07/2023,Office,2 yrs,2 yrs,"$104,100","$104,100",--,--
USAA,"San Antonio, TX",Employee as of 03/07/2023,Remote,0-1 yrs,2-4 yrs,"$98,000","$86,000",--,"$12,000"
hidden,"New York, NY",Employee as of 03/07/2023,Remote,2-4 yrs,2-4 yrs,"$92,500","$87,500",--,"$5,000"
Equifax,Atlanta,Employee as of 03/07/2023,Hybrid,0-1 yrs,0-1 yrs,"$80,000","$80,000",--,--
Blue Bridge Financial,"Reston, VA",Employee as of 03/06/2023,Office,1 yr,1 yr,"$60,000","$60,000",--,--
Datadog,"New York, NY",Employee as of 03/06/2023,Hybrid,2 yrs,5 yrs,"$130,000","$115,000","$15,000",--
Color,"Burlingame, CA",Employee as of 03/06/2023,Office,3 yrs,3 yrs,"$115,000","$115,000",--,--
Accenture,"Detroit, MI",Offer from 03/06/2023,Office,0 yrs,0 yrs,"$83,000","$83,000",--,--
Wayfair,"Boston, MA",Employee as of 03/06/2023,Hybrid,4 yrs,5 yrs,"$150,000","$125,000","$10,000","$15,000"
Google,"Los Angeles, CA",Employee as of 03/06/2023,Remote,3 yrs,5 yrs,"$151,000","$151,000",--,--
Zinus,"Los Angeles, CA",Employee as of 03/06/2023,Office,2 yrs,2 yrs,"$50,000","$50,000",--,--
Cigna,"Nashville, TN",Employee as of 03/06/2023,Remote,1 yrs,8 yrs,"$86,000","$85,000",--,"$1,000"
VMware,"San Francisco, CA",Employee as of 03/05/2023,Remote,2 yrs,2 yrs,"$97,500","$87,500",--,"$10,000"
Santander Bank,"Boston, MA",Employee as of 03/05/2023,Office,4 yrs,7 yrs,"$150,000","$150,000",--,--
EXL,"New York, NY",Employee as of 03/05/2023,Remote,2 yrs,10 yrs,"$143,000","$130,000",--,"$13,000"
Citi,"Tampa, FL",Employee as of 03/05/2023,Office,3 yrs,7 yrs,"$137,000","$137,000",--,--
Wayfair,"Boston, MA",Employee as of 03/04/2023,Hybrid,5 yrs,8 yrs,"$155,000","$123,000","$22,000","$10,000"
AdventHealth,"Orlando, FL",Employee as of 03/04/2023,Office,2 yrs,4 yrs,"$87,360","$87,360",--,--
HPE,"San Jose, CA",Employee as of 03/04/2023,Remote,6 yrs,34 yrs,"$160,000","$150,000",--,"$10,000"
ICW Group,"San Diego, CA",Employee as of 03/04/2023,Hybrid,5 yrs,5 yrs,"$94,330","$87,330",--,"$7,000"
H-E-B,"San Antonio, TX",Employee as of 03/03/2023,Hybrid,9 yrs,9 yrs,"$80,300","$73,000",--,"$7,300"
JPMorgan Chase,"Newark, DE",Employee as of 03/03/2023,Hybrid,2 yrs,7 yrs,"$69,500","$68,000",--,"$1,500"
Apple,"Austin, TX",Employee as of 03/03/2023,Hybrid,5 yrs,9 yrs,"$167,000","$125,000","$30,000","$12,000"
Amgen,"Thousand Oaks, CA",Employee as of 03/03/2023,Office,2 yrs,3 yrs,"$113,000","$100,000","$3,000","$10,000"
Edupoint Educational Systems,"Mesa, AZ",Employee as of 03/03/2023,Hybrid,3 yrs,10 yrs,"$69,000","$69,000",--,--
Amazon,"Seattle, WA",Employee as of 03/03/2023,Office,1 yrs,4 yrs,"$118,000","$118,000",--,--
Gemini,"New York, NY",Employee as of 03/02/2023,Remote,3 yrs,4 yrs,"$120,000","$120,000",--,--
Gainwell Technologies,"Madison, WI",Employee as of 03/02/2023,Remote,6 yrs,6 yrs,"$78,200","$78,200",--,--
Manpower,"Charlotte, NC",Employee as of 03/02/2023,Remote,2 yrs,2 yrs,"$63,000","$58,000",--,"$5,000"
Weave,"Lehi, UT",Employee as of 03/02/2023,Remote,1 yrs,4 yrs,"$108,350","$98,500",--,"$9,850"
Mutual of Omaha,"Austin, TX",Employee as of 03/02/2023,Remote,3 yrs,3 yrs,"$71,500","$68,500",--,"$3,000"
Lockton,"Kansas City, MO",Employee as of 03/02/2023,Hybrid,1 yrs,2 yrs,"$67,000","$63,000",--,"$4,000"
Avanade,"Chicago, IL",Employee as of 03/02/2023,Remote,2 yrs,10 yrs,"$101,000","$101,000",--,--
PDI Software,"Philadelphia, PA",Employee as of 03/02/2023,Remote,1 yrs,2 yrs,"$70,000","$70,000",--,--
hidden,"Houston, TX",Employee as of 03/02/2023,Remote,2 yrs,15 yrs,"$137,000","$137,000",--,--
Wayfair,"Boston, MA",Employee as of 03/02/2023,Hybrid,4 yrs,4 yrs,"$115,000","$115,000",--,--
Power & Tel,"Collierville, TN",Employee as of 03/02/2023,Office,0 yrs,0 yrs,"$70,000","$68,000",--,"$2,000"
Scholastic,"New York, NY",Employee as of 03/01/2023,Remote,1 yr,1 yr,"$86,600","$86,600",--,--
Amazon,"Seattle, WA",Employee as of 03/01/2023,Remote,3 yrs,3 yrs,"$112,500","$102,500","$10,000",--
hidden,"Los Angeles, CA",Employee as of 03/01/2023,Office,1 yrs,2 yrs,"$82,000","$82,000",--,--
hidden,"New York, NY",Employee as of 03/01/2023,Remote,0 yrs,5 yrs,"$160,000","$160,000",--,--
FOX,"Charleston, SC",Employee as of 03/01/2023,Remote,1 yrs,5 yrs,"$133,300","$124,000",--,"$9,300"
Billtrust,"Washington, DC",Employee as of 03/01/2023,Remote,1 yrs,3 yrs,"$78,750","$75,000",--,"$3,750"
Google,"Mountain View, CA",Employee as of 03/01/2023,Hybrid,4 yrs,20 yrs,"$355,000","$225,000","$80,000","$50,000"
Optum,"Denver, CO",Offer from 03/01/2023,Remote,0 yrs,7 yrs,"$101,588","$94,500",--,"$7,088"
Dispel,"New York, NY",Offer from 02/28/2023,Hybrid,0 yrs,0 yrs,"$77,000","$77,000",--,--
IBM,"Los Angeles, CA",Employee as of 02/28/2023,Hybrid,1 yr,1 yr,"$104,000","$104,000",--,--
Whirlpool,"Benton Harbor, MI",Employee as of 02/28/2023,Office,3 yrs,4 yrs,"$90,000","$75,000",--,"$15,000"
hidden,"Davis, CA",Employee as of 02/28/2023,Office,5-10 yrs,5-10 yrs,"$70,000","$70,000",--,--
Amazon,"Seattle, WA",Employee as of 02/28/2023,Remote,2 yrs,12 yrs,"$205,000","$165,000","$40,000",--
Marsh & McLennan Companies,"New York, NY",Employee as of 02/28/2023,Hybrid,1 yrs,4 yrs,"$110,000","$100,000",--,"$10,000"
Cage Point,"New York, NY",Employee as of 02/28/2023,Hybrid,1 yr,1 yr,"$60,000","$60,000",--,--
Facebook,"San Francisco, CA",Employee as of 02/28/2023,Office,1 yrs,8 yrs,"$216,000","$173,000","$18,000","$25,000"
hidden,"New York, NY",Employee as of 02/28/2023,Remote,0-1 yrs,2-4 yrs,"$105,000","$105,000",--,--
H-E-B,"San Antonio, TX",Employee as of 02/28/2023,Hybrid,1 yrs,2 yrs,"$77,000","$70,000",--,"$7,000"
Walmart,"San Bruno, CA",Employee as of 02/28/2023,Office,2 yrs,2 yrs,"$133,000","$110,000","$5,000","$18,000"
SimpliSafe,"Boston, MA",Employee as of 02/28/2023,Office,0 yrs,8 yrs,"$121,000","$110,000",--,"$11,000"
DoorDash,"New York, NY",Employee as of 02/27/2023,Office,1 yrs,3 yrs,"$190,000","$150,000","$40,000",--
Pacific Gas & Electric,San Francisco Bay Area,Employee as of 02/27/2023,Hybrid,2 yrs,6 yrs,"$101,000","$93,000",--,"$8,000"
Capital One,"Washington, DC",Employee as of 02/27/2023,Remote,1 yrs,6 yrs,"$165,000","$150,000",--,"$15,000"
Stripe,"Portland, OR",Employee as of 02/27/2023,Remote,2 yrs,7 yrs,"$167,350","$118,500","$37,000","$11,850"
Neuberger Berman,"New York, NY",Employee as of 02/27/2023,Office,1 yr,1 yr,"$118,000","$103,000",--,"$15,000"
Spectrum,"St. Louis, MO",Employee as of 02/27/2023,Office,1 yrs,2 yrs,"$91,000","$83,000",--,"$8,000"
FIS,"Tampa, FL",Employee as of 02/27/2023,Office,6 yrs,6 yrs,"$101,000","$101,000",--,--
ByteDance,"Seattle, WA",Offer from 02/27/2023,Office,0 yrs,37 yrs,"$194,375","$150,000","$19,375",y1
Merck,"Austin, TX",Employee as of 02/27/2023,Remote,5 yrs,15 yrs,"$168,430","$143,430",--,"$25,000"
IBM,"Columbus, OH",Employee as of 02/27/2023,Office,1 yrs,2 yrs,"$50,000","$50,000",--,--
Amazon,"New York, NY",Employee as of 02/27/2023,Hybrid,1 yrs,7 yrs,"$137,500","$110,000","$15,000","$12,500"
General Motors,"Austin, TX",Employee as of 02/26/2023,Office,1 yr,1 yr,"$84,000","$84,000",--,--
Financial Institution,"Los Angeles, CA",Employee as of 02/26/2023,Office,1 yr,1 yr,"$60,000","$60,000",--,--
Accenture,"Philadelphia, PA",Employee as of 02/26/2023,Office,2 yrs,2 yrs,"$87,500","$87,500",--,--
Facebook,"Austin, TX",Employee as of 02/26/2023,Office,3 yrs,5 yrs,"$120,059","$101,563","$8,407","$10,089"
First Republic Bank,"San Francisco, CA",Employee as of 02/25/2023,Hybrid,7 yrs,8 yrs,"$340,000","$210,000","$55,000","$75,000"
Nordstrom,"Seattle, WA",Offer from 02/25/2023,Remote,0 yrs,3 yrs,"$87,990","$83,009",--,"$4,981"
Capital One,"New York, NY",Employee as of 02/25/2023,Hybrid,1 yrs,3 yrs,"$138,000","$128,000",--,"$10,000"
MetLife,"New York, NY",Employee as of 02/25/2023,Office,30 yrs,30 yrs,"$125,000","$125,000",--,--
AbbVie,"Chicago, IL",Employee as of 02/25/2023,Hybrid,3 yrs,3 yrs,"$86,000","$82,000",--,"$4,000"
USAA,"Charlotte, NC",Employee as of 02/25/2023,Remote,1 yrs,7 yrs,"$161,000","$140,000",--,"$21,000"
State Government,"Olympia, WA",Employee as of 02/24/2023,Hybrid,2 yrs,2 yrs,"$98,000","$98,000",--,--
Lumen,"Dallas, TX",Employee as of 02/24/2023,Remote,0 yr,1 yr,"$79,960","$76,960",--,"$3,000"
Gusto,"New York, NY",Employee as of 02/24/2023,Hybrid,1 yrs,7 yrs,"$190,000","$150,000","$40,000",--
Tesla,"San Francisco, CA",Employee as of 02/24/2023,Office,2-4 yrs,2-4 yrs,"$185,000","$160,000","$25,000",--
Capital One,"Mc Lean, VA",Employee as of 02/24/2023,Hybrid,0 yrs,0 yrs,"$106,000","$106,000",--,--
Johnson Controls,"Milwaukee, WI",Employee as of 02/24/2023,Remote,3 yrs,4 yrs,"$115,000","$110,000",--,"$5,000"
Tesla,"Fremont, CA",Employee as of 02/24/2023,Office,5 yrs,10 yrs,"$190,000","$150,000","$40,000",--
hidden,"Minneapolis, MN",Employee as of 02/23/2023,Office,2-4 yrs,11+ yrs,"$140,000","$140,000",--,--
Inovalon,"Bowie, MD",Employee as of 02/23/2023,Remote,3 yrs,5 yrs,"$92,000","$92,000",--,--
hidden,"Los Angeles, CA",Employee as of 02/23/2023,Hybrid,0-1 yrs,5-10 yrs,"$152,400","$127,000","$12,700","$12,700"
Cirrus Logic,"Austin, TX",Employee as of 02/23/2023,Hybrid,2 yrs,12 yrs,"$106,500","$91,000","$8,000","$7,500"
Bank of America,"Atlanta, GA",Employee as of 02/23/2023,Hybrid,0 yrs,2 yrs,"$106,500","$106,500",--,--
T-Mobile,"Bellevue, WA",Employee as of 02/23/2023,Remote,8 yrs,10 yrs,"$126,400","$101,400","$10,000","$15,000"
GoDaddy,"New York, NY",Employee as of 02/23/2023,Remote,4 yrs,6 yrs,"$218,250","$155,000","$40,000","$23,250"
Capgemini,"Houston, TX",Employee as of 02/23/2023,Remote,9 yrs,16 yrs,"$116,600","$106,000",--,"$10,600"
WebMD Health Services,"New York, NY",Employee as of 02/23/2023,Remote,1 yrs,3 yrs,"$60,000","$60,000",--,--
Alkermes,"Boston, MA",Employee as of 02/23/2023,Remote,5 yrs,5 yrs,"$128,000","$116,000",--,"$12,000"
Vitech,"Orlando, FL",Employee as of 02/23/2023,Remote,2 yrs,2 yrs,"$72,000","$72,000",--,--
Amazon,"Seattle, WA",Employee as of 02/23/2023,Office,1 yrs,3 yrs,"$178,000","$145,000","$3,000","$30,000"
hidden,"Chicago, IL",Employee as of 02/22/2023,Hybrid,3 yrs,3 yrs,"$69,355","$68,355",--,"$1,000"
