Company,City,employee_as_of,Remote_Flag,years_at_company,years_of_exp,total_comp,base_salary,stock_rsu_comp,annual_target_bonus
Cohesity,"San Jose, CA",Employee as of 02/22/2023,Office,2 yrs,5 yrs,"$145,000","$145,000",--,--
GoodRx,"San Francisco, CA",Employee as of 02/22/2023,Office,1 yrs,4 yrs,"$130,000","$110,000","$20,000",--
Boeing,"Seattle, WA",Employee as of 02/22/2023,Remote,9 yrs,10 yrs,"$126,000","$117,000",--,"$9,000"
hidden,"San Francisco, CA",Employee as of 02/21/2023,Office,1 yrs,2 yrs,"$100,000","$100,000",--,--
Visa,"Austin, TX",Employee as of 02/21/2023,Hybrid,2 yrs,4 yrs,"$131,400","$114,000","$6,000","$11,400"
Omnicell,"Mountain View, CA",Employee as of 02/21/2023,Remote,2 yrs,5 yrs,"$110,000","$110,000",--,--
Infineon Technologies,"San Francisco, CA",Employee as of 02/21/2023,Office,2 yrs,8 yrs,"$150,000","$130,000",--,"$20,000"
Morgan and Morgan,"New York, NY",Employee as of 02/21/2023,Hybrid,1 yrs,4 yrs,"$72,500","$70,000",--,"$2,500"
JPMorgan Chase,"Chicago, IL",Offer from 02/21/2023,Hybrid,0 yrs,3 yrs,"$120,750","$115,000",--,"$5,750"
eBay,"Austin, TX",Employee as of 02/21/2023,Office,2 yrs,5 yrs,"$109,000","$109,000",--,--
Prime Heathcare,"Ontario, CA",Employee as of 02/20/2023,Office,2 yrs,3 yrs,"$75,000","$75,000",--,--
BrainPOP,"New York, NY",Employee as of 02/20/2023,Remote,1 yr,1 yr,"$97,000","$95,000",--,"$2,000"
3B Staffing,"Mckinney, TX",Employee as of 02/20/2023,Remote,1 yrs,8 yrs,"$85,000","$85,000",--,--
Amazon,"Seattle, WA",Employee as of 02/20/2023,Office,2 yrs,5 yrs,"$165,000","$140,000","$25,000",--
hidden,"Foster City, CA",Employee as of 02/20/2023,Hybrid,2-4 yrs,11+ yrs,"$348,000","$235,000","$55,000","$58,000"
Xaxis,"New York, NY",Employee as of 02/20/2023,Hybrid,1 yrs,2 yrs,"$77,000","$77,000",--,--
hidden,"Chicago, IL",Employee as of 02/20/2023,Hybrid,2-4 yrs,2-4 yrs,"$70,200","$65,200",--,"$5,000"
PTC,"Boston, MA",Employee as of 02/20/2023,Hybrid,1 yrs,10 yrs,"$115,000","$115,000",--,--
Snap Finance,"Salt Lake City, UT",Employee as of 02/20/2023,Hybrid,2 yrs,2 yrs,"$94,000","$94,000",--,--
HubSpot,"New York, NY",Employee as of 02/20/2023,Remote,0-1 yrs,2-4 yrs,"$133,300","$120,000","$13,300",--
hidden,"Chicago, IL",Employee as of 02/20/2023,Remote,1 yr,1 yr,"$73,000","$73,000",--,--
Deloitte,"Dallas, TX",Employee as of 02/20/2023,Hybrid,4 yrs,8 yrs,"$116,000","$106,000",--,"$10,000"
CommerceHub,"Seattle, WA",Employee as of 02/20/2023,Remote,1 yr,1 yr,"$88,000","$80,000",--,"$8,000"
Zynga,"Austin, TX",Employee as of 02/19/2023,Office,2 yrs,3 yrs,"$148,500","$115,000","$22,000","$11,500"
Enverus,"Austin, TX",Employee as of 02/19/2023,Remote,2 yrs,12 yrs,"$378,000","$190,000","$150,000","$38,000"
AMD,"Austin, TX",Employee as of 02/19/2023,Hybrid,1 yrs,4 yrs,"$137,000","$108,000","$15,000","$14,000"
The Kraft Heinz Company,"Chicago, IL",Employee as of 02/19/2023,Hybrid,2 yrs,2 yrs,"$90,000","$80,000",--,"$10,000"
hidden,"Greensboro, NC",Employee as of 02/19/2023,Hybrid,5 yrs,16 yrs,"$96,600","$92,000",--,"$4,600"
Yale New Haven Health,"New Haven, CT",Employee as of 02/19/2023,Remote,3 yrs,6 yrs,"$130,000","$130,000",--,--
eBay,"Salt Lake City, UT",Employee as of 02/18/2023,Office,3 yrs,3 yrs,"$80,000","$80,000",--,--
AT&T,"Dallas, TX",Employee as of 02/18/2023,Hybrid,2 yrs,4 yrs,"$249,600","$124,800",--,--
hidden,"Los Angeles, CA",Employee as of 02/18/2023,Remote,2-4 yrs,2-4 yrs,"$81,000","$80,000",--,"$1,000"
Cisco,"Columbus, OH",Employee as of 02/18/2023,Remote,8 yrs,10 yrs,"$143,500","$125,000","$6,000","$12,500"
Capital One,"West McLean, VA",Employee as of 02/17/2023,Hybrid,2 yrs,4 yrs,"$166,200","$153,000",--,"$13,200"
Stripe,"San Francisco, CA",Employee as of 02/17/2023,Office,3 yrs,8 yrs,"$310,000","$200,000","$70,000","$40,000"
Capital One,"New York, NY",Employee as of 02/17/2023,Hybrid,2-4 yrs,5-10 yrs,"$267,000","$240,000",--,"$27,000"
Customer Value Partners,"Arlington, VA",Employee as of 02/17/2023,Office,3 yrs,3 yrs,"$70,000","$70,000",--,--
Two Sigma,"Houston, TX",Employee as of 02/17/2023,Hybrid,1 yrs,3 yrs,"$133,000","$115,000",--,"$18,000"
Millennium,"New York, NY",Employee as of 02/17/2023,Hybrid,3 yrs,7 yrs,"$220,000","$160,000",--,"$60,000"
Freddie Mac,"West McLean, VA",Employee as of 02/17/2023,Office,2 yrs,2 yrs,"$82,000","$82,000",--,--
Amazon,"Seattle, WA",Employee as of 02/17/2023,Hybrid,1 yrs,2 yrs,"$108,000","$80,000","$18,000","$10,000"
Meetup,"New York, NY",Employee as of 02/17/2023,Office,0 yrs,2 yrs,"$110,000","$110,000",--,--
UBS,"Rochester, NY",Employee as of 02/17/2023,Office,1 yr,1 yr,"$65,000","$65,000",--,--
Robert Half,"San Ramon, CA",Employee as of 02/16/2023,Remote,7 yrs,7 yrs,"$109,000","$109,000",--,--
VSP,"Sacramento, CA",Employee as of 02/16/2023,Remote,4 yrs,4 yrs,"$76,000","$76,000",--,--
Guidehouse,"Texas City, TX",Employee as of 02/16/2023,Remote,4 yrs,7 yrs,"$105,000","$105,000",--,--
Gap,"Los Angeles, CA",Employee as of 02/16/2023,Remote,1 yrs,6 yrs,"$150,000","$125,000",--,"$25,000"
PayPal,"San Francisco, CA",Employee as of 02/16/2023,Office,6 yrs,15 yrs,"$300,000","$190,000","$70,000","$40,000"
AMD,"Austin, TX",Employee as of 02/16/2023,Remote,2 yrs,5 yrs,"$111,500","$95,500","$15,000","$1,000"
The Home Depot,"Atlanta, GA",Employee as of 02/16/2023,Hybrid,1 yrs,2 yrs,"$85,200","$76,000","$7,000","$2,200"
Northwell Health,"New York, NY",Employee as of 02/16/2023,Hybrid,1 yr,1 yr,"$82,000","$82,000",--,--
Salesforce,"Indianapolis, IN",Employee as of 02/16/2023,Hybrid,2 yrs,6 yrs,"$81,400","$74,000",--,"$7,400"
hidden,"Dallas, TX",Employee as of 02/15/2023,Remote,2-4 yrs,5-10 yrs,"$126,000","$126,000",--,--
HSBC,"New York, NY",Offer from 02/15/2023,Office,0 yrs,12 yrs,"$250,000","$190,000",--,"$60,000"
Microsoft,"New York, NY",Offer from 02/15/2023,Office,0 yrs,0 yrs,"$120,000","$120,000",--,--
hidden,"San Francisco, CA",Employee as of 02/15/2023,Office,2 yrs,3 yrs,"$121,000","$110,000",--,"$11,000"
hidden,"Franklin, TN",Employee as of 02/15/2023,Hybrid,1 yr,1 yr,"$79,000","$70,000",--,"$9,000"
PwC,"Seattle, WA",Employee as of 02/15/2023,Office,3 yrs,3 yrs,"$120,000","$80,000","$30,000","$10,000"
Facebook,"New York, NY",Employee as of 02/14/2023,Office,1 yrs,10 yrs,"$201,500","$175,000",--,"$26,500"
Redfin,"Seattle, WA",Employee as of 02/14/2023,Hybrid,2 yrs,20 yrs,"$193,500","$133,500","$40,000","$20,000"
Amazon,"Wisconsin Rapids, WI",Employee as of 02/14/2023,Remote,6 yrs,6 yrs,"$163,995","$104,995","$59,000",--
Twitter,"New York, NY",Employee as of 02/14/2023,Office,6 yrs,10 yrs,"$274,400","$177,000","$62,000","$35,400"
IHME,"Seattle, WA",Employee as of 02/14/2023,Remote,2 yrs,3 yrs,"$70,000","$70,000",--,--
Brookfield Asset Management,"New York, NY",Employee as of 02/14/2023,Office,2 yrs,2 yrs,"$109,250","$95,000",--,"$14,250"
Square,"Richmond, VA",Employee as of 02/13/2023,Remote,1 yrs,4 yrs,"$129,000","$115,000","$14,000",--
Snowflake,"San Mateo, CA",Employee as of 02/13/2023,Office,1 yr,1 yr,"$95,000","$95,000",--,--
Intuit,"Virginia Beach, VA",Employee as of 02/13/2023,Remote,9 yrs,9 yrs,"$225,000","$155,000","$40,000","$30,000"
Cigna,"Arizona City, AZ",Offer from 02/13/2023,Remote,0 yrs,4 yrs,"$167,500","$150,000",--,"$17,500"
hidden,"Los Angeles, CA",Offer from 02/13/2023,Office,0 yrs,6 yrs,"$80,000","$80,000",--,--
PwC,"New York, NY",Employee as of 02/13/2023,Remote,1 yrs,4 yrs,"$103,000","$103,000",--,--
SAIC,"Washington, DC",Employee as of 02/13/2023,Office,1 yrs,7 yrs,"$110,000","$110,000",--,--
Central Intelligence Agency,"Washington, DC",Employee as of 02/13/2023,Office,3 yrs,3 yrs,"$115,000","$115,000",--,--
Walmart,"New York, NY",Employee as of 02/13/2023,Office,2 yrs,2 yrs,"$141,000","$118,000","$5,000","$18,000"
Disney,"New York, NY",Employee as of 02/13/2023,Hybrid,0 yrs,3 yrs,"$154,333","$113,000","$33,333","$8,000"
Snowflake,San Francisco Bay Area,Employee as of 02/12/2023,Office,1 yrs,6 yrs,"$189,990","$132,600","$37,500","$19,890"
Netflix,"Los Angeles, CA",Employee as of 02/12/2023,Office,0 yrs,4 yrs,"$170,000","$170,000",--,--
Elecnor,"Hartford, CT",Employee as of 02/12/2023,Office,1 yrs,3 yrs,"$74,000","$74,000",--,--
Wayfair,"Boston, MA",Employee as of 02/12/2023,Hybrid,2 yrs,3 yrs,"$115,000","$115,000",--,--
Diligent,"Washington, DC",Employee as of 02/12/2023,Remote,3 yrs,3 yrs,"$97,000","$93,000",--,"$4,000"
JBS SA,"Greeley, CO",Employee as of 02/12/2023,Office,2 yrs,15 yrs,"$97,000","$82,000",--,"$15,000"
Intuit,"Plano, TX",Employee as of 02/12/2023,Office,3 yrs,6 yrs,"$203,000","$120,000","$65,000","$18,000"
Capital One,"Richmond, VA",Employee as of 02/11/2023,Hybrid,0 yrs,21 yrs,"$228,793","$188,793",--,"$40,000"
Global Overview,"Minneapolis, MN",Employee as of 02/11/2023,Hybrid,2 yrs,3 yrs,"$68,250","$65,000",--,"$3,250"
Block Convey,"New York, NY",Offer from 02/11/2023,Office,0 yrs,2 yrs,"$60,000","$60,000",--,--
Facebook,"New York, NY",Employee as of 02/11/2023,Hybrid,4 yrs,7 yrs,"$222,000","$185,000","$10,000","$27,000"
hidden,"Columbus, OH",Employee as of 02/10/2023,Hybrid,2-4 yrs,2-4 yrs,"$80,000","$80,000",--,--
hidden,"West Lafayette, IN",Employee as of 02/10/2023,Remote,0-1 yrs,2-4 yrs,"$95,000","$80,000",--,"$15,000"
ServiceNow,"San Francisco, CA",Employee as of 02/10/2023,Office,2 yrs,2 yrs,"$110,000","$110,000",--,--
Block,"San Francisco, CA",Employee as of 02/10/2023,Remote,0 yrs,3 yrs,"$142,500","$125,000","$17,500",--
Block,"San Francisco, CA",Employee as of 02/10/2023,Remote,0 yrs,3 yrs,"$142,500","$125,000","$17,500",--
Citi,"New York, NY",Employee as of 02/10/2023,Office,4 yrs,4 yrs,"$180,000","$160,000",--,"$20,000"
Aruba,"Austin, TX",Employee as of 02/09/2023,Remote,3 yrs,6 yrs,"$170,143","$141,143","$20,000","$9,000"
Illumina,"San Diego, CA",Employee as of 02/09/2023,Hybrid,2-4 yrs,5-10 yrs,"$138,240","$128,000",--,"$10,240"
JetBlue,"Orlando, FL",Employee as of 02/09/2023,Hybrid,7 yrs,7 yrs,"$67,956","$60,000","$7,956",--
JPMorgan Chase,"Wilmington, DE",Employee as of 02/09/2023,Hybrid,1 yrs,2 yrs,"$85,400","$82,400",--,"$3,000"
Salesforce,"Dallas, TX",Employee as of 02/09/2023,Remote,3 yrs,10 yrs,"$187,200","$187,200",--,--
HPE,"Palo Alto, CA",Employee as of 02/09/2023,Remote,2 yrs,2 yrs,"$51,688","$51,688",--,--
Capital One,"West McLean, VA",Employee as of 02/09/2023,Office,3 yrs,3 yrs,"$172,000","$159,000",--,"$13,000"
McKinsey,"Boston, MA",Employee as of 02/09/2023,Remote,0 yr,1 yr,"$122,700","$112,700",--,"$10,000"
Cigna,"Philadelphia, PA",Employee as of 02/08/2023,Remote,0-1 yrs,5-10 yrs,"$130,000","$130,000",--,--
Syrencloud,"New York, NY",Employee as of 02/08/2023,Remote,2 yrs,7 yrs,"$60,000","$60,000",--,--
Salesforce,"Atlanta, GA",Employee as of 02/08/2023,Hybrid,5 yrs,12 yrs,"$132,000","$120,000",--,"$12,000"
Amgen,"Thousand Oaks, CA",Employee as of 02/08/2023,Hybrid,4 yrs,8 yrs,"$129,000","$114,000","$5,000","$10,000"
"Toast, Inc.","Boston, MA",Employee as of 02/08/2023,Remote,2 yrs,4 yrs,"$193,500","$135,000","$45,000","$13,500"
hidden,"New York, NY",Employee as of 02/08/2023,Office,2 yrs,7 yrs,"$125,000","$125,000",--,--
BuildOps,"New York, NY",Employee as of 02/07/2023,Office,1 yr,1 yr,"$44,800","$44,800",--,--
Rochester Institute of Technology,"Rochester, NY",Employee as of 02/07/2023,Remote,2 yrs,2 yrs,"$63,000","$63,000",--,--
Indeed,"Austin, TX",Employee as of 02/07/2023,Remote,1 yrs,8 yrs,"$155,500","$125,000","$18,000","$12,500"
Equifax,"Atlanta, GA",Employee as of 02/07/2023,Hybrid,2 yrs,5 yrs,"$130,000","$115,000",--,"$15,000"
JPMorgan Chase,"New York, NY",Employee as of 02/07/2023,Hybrid,3 yrs,3 yrs,"$85,000","$70,000",--,"$15,000"
Equifax,"Atlanta, GA",Employee as of 02/07/2023,Hybrid,2-4 yrs,5-10 yrs,"$130,000","$115,000",--,"$15,000"
Arcadia,"Boston, MA",Employee as of 02/07/2023,Office,3 yrs,7 yrs,"$170,000","$170,000",--,--
Amazon,"Seattle, WA",Employee as of 02/07/2023,Hybrid,1 yr,1 yr,"$124,500","$92,500","$3,000","$29,000"
Milliman,"Chicago, IL",Employee as of 02/06/2023,Hybrid,0 yrs,0 yrs,"$92,500","$80,000",--,"$12,500"
Capital One,"West McLean, VA",Employee as of 02/06/2023,Office,2 yrs,2 yrs,"$126,600","$120,000",--,"$6,600"
Stanford Health Care,"Newark, CA",Employee as of 02/06/2023,Hybrid,2 yrs,4 yrs,"$80,000","$80,000",--,--
Amazon,"Phoenix, AZ",Employee as of 02/06/2023,Remote,4 yrs,10 yrs,"$240,000","$160,000","$80,000",--
Toyota USA,"Plano, TX",Employee as of 02/06/2023,Office,1 yr,1 yr,"$70,000","$70,000",--,--
BP,"Houston, TX",Employee as of 02/05/2023,Office,1 yr,1 yr,"$82,000","$82,000",--,--
Walmart,"Dallas, TX",Employee as of 02/05/2023,Remote,2 yrs,6 yrs,"$124,000","$102,000","$6,000","$16,000"
Facebook,"Austin, TX",Employee as of 02/05/2023,Office,3 yrs,5 yrs,"$126,000","$104,000","$12,000","$10,000"
Scale AI,"San Francisco, CA",Employee as of 02/05/2023,Hybrid,1 yrs,5 yrs,"$291,000","$191,000","$100,000",--
LendKey Technologies,"Duck Creek Village, UT",Employee as of 02/05/2023,Remote,1 yrs,4 yrs,"$80,000","$80,000",--,--
Wayfair,"Mountain View, CA",Employee as of 02/04/2023,Remote,1 yrs,5 yrs,"$196,000","$196,000",--,--
Apple,"Sunnyvale, CA",Employee as of 02/04/2023,Office,8 yrs,15 yrs,"$215,000","$165,000","$40,000","$10,000"
Citi,"Dallas, TX",Offer from 02/04/2023,Hybrid,0 yrs,3 yrs,"$110,000","$110,000",--,--
Target,"New York, NY",Offer from 02/03/2023,Office,0 yr,1 yr,"$65,000","$65,000",--,--
ZS,"New York, NY",Employee as of 02/03/2023,Office,2 yrs,3 yrs,"$136,000","$127,000",--,"$9,000"
hidden,"Los Angeles, CA",Offer from 02/03/2023,Office,0 yrs,3 yrs,"$80,000","$80,000",--,--
Bass Pro Shops,"Springfield, MO",Employee as of 02/03/2023,Office,2 yrs,5 yrs,"$95,000","$95,000",--,--
Braze,"New York, NY",Employee as of 02/03/2023,Hybrid,2 yrs,5 yrs,"$182,000","$110,000","$25,000","$47,000"
Accenture,"Washington, DC",Employee as of 02/03/2023,Remote,2 yrs,2 yrs,"$100,000","$96,000",--,"$4,000"
Stripe,"Austin, TX",Employee as of 02/03/2023,Remote,1 yrs,9 yrs,"$215,000","$150,000","$50,000","$15,000"
Wayfair,"Boston, MA",Employee as of 02/03/2023,Hybrid,1 yr,1 yr,"$96,000","$96,000",--,--
Equitable Financial,"New York, NY",Employee as of 02/03/2023,Hybrid,2 yrs,12 yrs,"$150,000","$135,000",--,"$15,000"
NPR,"New York, NY",Employee as of 02/03/2023,Remote,1 yrs,3 yrs,"$115,000","$115,000",--,--
ZS,"Boston, MA",Employee as of 02/03/2023,Hybrid,2 yrs,2 yrs,"$106,000","$98,000",--,"$8,000"
Tradition,"New York, NY",Employee as of 02/03/2023,Office,1 yr,1 yr,"$55,000","$50,000",--,"$5,000"
Capital One,"Washington, DC",Employee as of 02/02/2023,Hybrid,0 yrs,0 yrs,"$110,300","$107,000",--,"$3,300"
Tower Research Capital,"New York, NY",Employee as of 02/02/2023,Office,1 yr,1 yr,"$105,000","$90,000",--,"$15,000"
The Home Depot,"Atlanta, GA",Employee as of 02/02/2023,Office,2 yrs,2 yrs,"$75,000","$75,000",--,--
Accenture,"Nashville, TN",Employee as of 02/02/2023,Remote,2 yrs,3 yrs,"$85,500","$84,500",--,"$1,000"
Atos,"Irvine, CA",Employee as of 02/02/2023,Hybrid,1 yrs,14 yrs,"$135,000","$135,000",--,--
Insight Global,"Atlanta, GA",Employee as of 02/02/2023,Remote,2 yrs,2 yrs,"$67,500","$67,500",--,--
Cognizant,"Phoenix, AZ",Employee as of 02/02/2023,Remote,1 yrs,4 yrs,"$78,000","$78,000",--,--
Christus Health,"Dallas, TX",Employee as of 02/02/2023,Office,4 yrs,6 yrs,"$100,000","$100,000",--,--
Amazon,"Seattle, WA",Employee as of 02/02/2023,Hybrid,1 yrs,6 yrs,"$133,000","$103,000","$10,000","$20,000"
Facebook,"Seattle, WA",Employee as of 02/01/2023,Office,1 yrs,2 yrs,"$163,000","$130,000","$20,000","$13,000"
Government Technology,"San Francisco, CA",Employee as of 02/01/2023,Hybrid,10 yrs,20 yrs,"$180,000","$180,000",--,--
Duke Health,"Durham, NC",Employee as of 02/01/2023,Hybrid,1 yrs,3 yrs,"$77,500","$72,500",--,"$5,000"
JPMorgan Chase,"San Antonio, TX",Employee as of 02/01/2023,Hybrid,14 yrs,14 yrs,"$74,100","$74,100",--,--
CGI,"Arlington, VA",Employee as of 02/01/2023,Remote,2 yrs,2 yrs,"$77,000","$77,000",--,--
Comcast,"Philadelphia, PA",Employee as of 02/01/2023,Remote,7 yrs,10 yrs,"$94,300","$87,300",--,"$7,000"
Microsoft,"Seattle, WA",Employee as of 02/01/2023,Office,15 yrs,20 yrs,"$150,000","$150,000",--,--
Lattice,"San Francisco, CA",Employee as of 02/01/2023,Office,2 yrs,5 yrs,"$140,000","$130,000","$10,000",y1
Salesforce,"San Francisco, CA",Employee as of 01/31/2023,Office,13 yrs,15 yrs,"$285,000","$205,000","$40,000","$40,000"
North Highland,"Atlanta, GA",Employee as of 01/31/2023,Office,5 yrs,17 yrs,"$140,000","$128,000",--,"$12,000"
Datadog,"Boston, MA",Employee as of 01/31/2023,Office,2 yrs,2 yrs,"$70,000","$70,000",--,--
Scale AI,"San Francisco, CA",Employee as of 01/31/2023,Remote,2 yrs,6 yrs,"$223,000","$160,000","$63,000",y1
LiveRamp,"Boston, MA",Employee as of 01/31/2023,Remote,1 yrs,6 yrs,"$130,000","$130,000",--,--
Stellar Health,"New York, NY",Employee as of 01/31/2023,Office,1 yrs,3 yrs,"$112,000","$112,000",--,--
Facebook,"San Francisco, CA",Employee as of 01/31/2023,Hybrid,1 yrs,6 yrs,"$225,000","$170,000","$30,000","$25,000"
Atmos Energy,"Dallas, TX",Employee as of 01/31/2023,Remote,2 yrs,3 yrs,"$55,000","$55,000",--,--
Cisco,"New York, NY",Employee as of 01/31/2023,Remote,0 yr,1 yr,"$98,000","$89,000",--,"$9,000"
Capital One,"Washington, DC",Employee as of 01/31/2023,Office,4 yrs,4 yrs,"$170,700","$154,000","$3,500","$13,200"
Amazon,"Chicago, IL",Employee as of 01/31/2023,Remote,0 yrs,4 yrs,"$129,000","$105,000","$2,000","$22,000"
Accenture,"Washington, DC",Employee as of 01/31/2023,Hybrid,1 yrs,12 yrs,"$102,000","$102,000",--,--
Cisco,"Jacksonville, FL",Employee as of 01/31/2023,Remote,0 yrs,5 yrs,"$110,000","$110,000",--,--
Cognizant,"Washington, DC",Employee as of 01/31/2023,Office,0 yr,1 yr,"$90,500","$78,500",--,"$12,000"
hidden,"New York, NY",Employee as of 01/31/2023,Office,0-1 yrs,0-1 yrs,"$110,000","$110,000",--,--
Deloitte,"Chicago, IL",Employee as of 01/30/2023,Office,2 yrs,4 yrs,"$96,000","$96,000",--,--
Upstart,"San Mateo, CA",Employee as of 01/30/2023,Office,3 yrs,4 yrs,"$102,000","$102,000",--,--
Capital One,"New York, NY",Employee as of 01/30/2023,Office,1 yrs,3 yrs,"$130,000","$130,000",--,--
Zendesk,"Seattle, WA",Employee as of 01/30/2023,Remote,2 yrs,4 yrs,"$105,000","$100,000",--,"$5,000"
Amazon,"Philadelphia, PA",Employee as of 01/30/2023,Office,5 yrs,5 yrs,"$123,490","$123,490",--,--
Capital One,"Plano, TX",Employee as of 01/30/2023,Remote,2 yrs,2 yrs,"$168,000","$144,000",--,"$24,000"
Amazon,"Austin, TX",Employee as of 01/30/2023,Office,2 yrs,7 yrs,"$318,000","$136,000","$100,000","$82,000"
LinkedIn,"New York, NY",Employee as of 01/30/2023,Hybrid,0 yrs,5 yrs,"$221,000","$160,000","$45,000","$16,000"
Capital One,"West McLean, VA",Employee as of 01/30/2023,Hybrid,1 yr,1 yr,"$115,000","$110,000",--,"$5,000"
Capital One,"Washington, DC",Employee as of 01/30/2023,Hybrid,1 yrs,7 yrs,"$166,375","$150,000","$3,375","$13,000"
Intuit,"Plano, TX",Employee as of 01/30/2023,Office,2 yrs,8 yrs,"$200,000","$115,000","$70,000","$15,000"
DoorDash,"Los Angeles, CA",Employee as of 01/30/2023,Remote,1 yr,1 yr,"$71,000","$71,000",--,--
Capital One,"West McLean, VA",Employee as of 01/30/2023,Hybrid,1 yrs,2 yrs,"$123,000","$118,000",--,"$5,000"
JPMorgan Chase,"Plano, TX",Employee as of 01/29/2023,Hybrid,5 yrs,5 yrs,"$66,000","$65,000",--,"$1,000"
PennyMac Loan Services,"Raleigh, NC",Employee as of 01/29/2023,Office,1 yrs,2 yrs,"$57,750","$55,000",--,"$2,750"
Charles Schwab,"San Francisco, CA",Employee as of 01/29/2023,Office,3 yrs,10 yrs,"$140,000","$140,000",--,--
Truist Financial Corporation,"Atlanta, GA",Employee as of 01/29/2023,Remote,3 yrs,10 yrs,"$121,000","$110,000",--,"$11,000"
LendingClub,"San Francisco, CA",Employee as of 01/29/2023,Office,2 yrs,7 yrs,"$335,000","$180,000","$110,000","$45,000"
EXL,"New York, NY",Offer from 01/29/2023,Office,0 yr,1 yr,"$90,000","$90,000",--,--
hidden,"Fort Wayne, IN",Employee as of 01/28/2023,Hybrid,10 yrs,10 yrs,"$72,000","$63,000",--,"$9,000"
Caterpillar,"Peoria, IL",Employee as of 01/28/2023,Hybrid,1 yr,1 yr,"$124,000","$102,000",--,"$22,000"
