Company,City,employee_as_of,Remote_Flag,years_at_company,years_of_exp,total_comp,base_salary,stock_rsu_comp,annual_target_bonus
Aerojet Rocketdyne,"West Palm Beach, FL",Employee as of 01/28/2023,Hybrid,1 yr,1 yr,"$65,000","$65,000",--,--
hidden,"New York, NY",Offer from 01/28/2023,Hybrid,0 yrs,0 yrs,"$115,000","$115,000",--,--
Innovative Office Solutions,"Minneapolis, MN",Employee as of 01/27/2023,Remote,2 yrs,6 yrs,"$90,000","$90,000",--,--
hidden,"South San Francisco, CA",Employee as of 01/27/2023,Remote,0-1 yrs,5-10 yrs,"$204,750","$135,000","$69,750",y1
Walmart,"New York, NY",Offer from 01/27/2023,Office,0 yrs,2 yrs,"$56,000","$56,000",--,--
Walmart,"Bentonville, AR",Employee as of 01/27/2023,Hybrid,10 yrs,10 yrs,"$115,000","$86,000","$15,000","$14,000"
NPO,"Milwaukee, WI",Employee as of 01/27/2023,Office,1 yrs,2 yrs,"$75,000","$75,000",--,--
Gainwell Technologies,"Newark, DE",Employee as of 01/27/2023,Hybrid,1 yr,1 yr,"$60,000","$60,000",--,--
Walmart,"Bentonville, AR",Employee as of 01/27/2023,Hybrid,5-10 yrs,5-10 yrs,"$116,600","$86,000","$15,000","$15,600"
Cisco,"Raleigh, NC",Employee as of 01/27/2023,Remote,1 yr,1 yr,"$86,000","$86,000",--,--
Allstate,"Chicago, IL",Employee as of 01/27/2023,Remote,7 yrs,7 yrs,"$82,600","$82,600",--,--
Amazon,"Seattle, WA",Employee as of 01/27/2023,Remote,2 yrs,4 yrs,"$136,000","$96,000","$20,000","$20,000"
Cisco,"Dallas, TX",Employee as of 01/27/2023,Office,2 yrs,3 yrs,"$90,000","$90,000",--,--
Afiniti,"Washington, DC",Employee as of 01/26/2023,Office,7 yrs,7 yrs,"$78,000","$78,000",--,--
Medtronic,"Minneapolis, MN",Employee as of 01/26/2023,Hybrid,1 yrs,8 yrs,"$86,500","$86,500",--,--
Allegion,"Indianapolis, IN",Employee as of 01/26/2023,Remote,0 yrs,8 yrs,"$137,500","$125,000",--,"$12,500"
Capital One,"Richmond, VA",Employee as of 01/26/2023,Hybrid,0 yrs,0 yrs,"$90,000","$87,000",--,"$3,000"
Jack Henry & Associates,"King of Prussia, PA",Employee as of 01/26/2023,Hybrid,3 yrs,4 yrs,"$79,000","$74,000",--,"$5,000"
hidden,"Boston, MA",Employee as of 01/26/2023,Remote,5-10 yrs,11+ yrs,"$150,000","$150,000",--,--
Comcast,"Philadelphia, PA",Employee as of 01/26/2023,Remote,2-4 yrs,5-10 yrs,"$105,000","$105,000",--,--
International Paper,"Memphis, TN",Employee as of 01/26/2023,Hybrid,0 yrs,0 yrs,"$81,000","$75,000",--,"$6,000"
Wayfair,"Boston, MA",Employee as of 01/26/2023,Office,1 yrs,3 yrs,"$125,000","$125,000",--,--
Inovalon,"Bowie, MD",Employee as of 01/26/2023,Remote,8 yrs,8 yrs,"$97,500","$97,500",--,--
Slalom,"Houston, TX",Employee as of 01/26/2023,Office,1 yrs,2 yrs,"$112,000","$112,000",--,--
Coalition,"Los Angeles, CA",Employee as of 01/26/2023,Remote,0 yrs,7 yrs,"$174,000","$150,000",--,y1
General Motors,"Detroit, MI",Employee as of 01/26/2023,Hybrid,5 yrs,7 yrs,"$102,500","$93,000",--,"$9,500"
Chase,"Miami, FL",Employee as of 01/26/2023,Office,21 yrs,21 yrs,"$70,000","$70,000",--,--
Huntington National Bank,"Chicago, IL",Employee as of 01/26/2023,Remote,1 yr,1 yr,"$90,000","$80,000",--,"$10,000"
IQVIA,"Philadelphia, PA",Offer from 01/25/2023,Office,0 yrs,0 yrs,"$91,250","$90,000",--,"$1,250"
Barclays,"Whippany, NJ",Employee as of 01/25/2023,Hybrid,1 yrs,3 yrs,"$95,000","$95,000",--,--
Infineon Technologies,"Boston, MA",Employee as of 01/25/2023,Hybrid,1 yrs,8 yrs,"$132,000","$120,000",--,"$12,000"
Spectrum,"Los Angeles, CA",Employee as of 01/25/2023,Hybrid,0 yrs,4 yrs,"$88,000","$80,000",--,"$8,000"
Verily,"Boston, MA",Employee as of 01/25/2023,Hybrid,5 yrs,15 yrs,"$275,500","$190,000","$47,500","$38,000"
USAA,"San Antonio, TX",Employee as of 01/25/2023,Office,1 yrs,3 yrs,"$82,000","$82,000",--,--
Fidelity Investments,"Dallas, TX",Employee as of 01/25/2023,Hybrid,9 yrs,20 yrs,"$162,630","$130,000",--,"$32,630"
Deloitte,"Fairfax, VA",Employee as of 01/25/2023,Hybrid,1 yr,1 yr,"$100,000","$100,000",--,--
Johnson & Johnson,"New York, NY",Employee as of 01/25/2023,Remote,1 yrs,3 yrs,"$176,800","$176,800",--,--
Google,"San Francisco, CA",Employee as of 01/25/2023,Office,1 yrs,5 yrs,"$150,000","$150,000",--,--
IQVIA,"Wayne, PA",Employee as of 01/25/2023,Hybrid,3 yrs,7 yrs,"$87,760","$81,760",--,"$6,000"
World Wide Technology,"St. Louis, MO",Employee as of 01/25/2023,Remote,5 yrs,10 yrs,"$101,700","$99,700",--,"$2,000"
Wayfair,"Boston, MA",Employee as of 01/25/2023,Office,2 yrs,10 yrs,"$366,000","$180,000","$150,000","$36,000"
Amazon,"Seattle, WA",Employee as of 01/25/2023,Office,1 yrs,4 yrs,"$140,000","$140,000",--,--
Dell Technologies,"Atlanta, GA",Employee as of 01/25/2023,Remote,1 yr,1 yr,"$41,600","$40,000",--,"$1,600"
ByteDance,"Los Angeles, CA",Employee as of 01/24/2023,Office,2 yrs,2 yrs,"$160,000","$160,000",--,--
T-Mobile,"Bellevue, WA",Offer from 01/24/2023,Hybrid,0 yrs,10 yrs,"$106,000","$105,000","$1,000",y1
Guidehouse,"Springfield, VA",Employee as of 01/24/2023,Hybrid,0 yrs,2 yrs,"$125,000","$125,000",--,--
hidden,"Savannah, GA",Employee as of 01/24/2023,Remote,0-1 yrs,0-1 yrs,"$31,200","$31,200",--,--
Eco Plumbers,"Columbus, OH",Employee as of 01/24/2023,Office,1 yr,1 yr,"$60,000","$60,000",--,--
C.H. Robinson,"Eden Prairie, MN",Employee as of 01/24/2023,Remote,3 yrs,7 yrs,"$105,000","$105,000",--,--
JPMorgan Chase,"San Antonio, TX",Employee as of 01/24/2023,Office,0 yrs,3 yrs,"$92,000","$92,000",--,--
Ernst and Young,"Atlanta, GA",Employee as of 01/24/2023,Remote,4 yrs,4 yrs,"$120,500","$113,000",--,"$7,500"
Google,"New York, NY",Employee as of 01/24/2023,Office,2 yrs,10 yrs,"$266,000","$189,000","$49,000","$28,000"
Avanade,"Los Angeles, CA",Employee as of 01/24/2023,Remote,2 yrs,4 yrs,"$164,000","$150,000",--,"$14,000"
Facebook,"Menlo Park, CA",Employee as of 01/23/2023,Office,1 yrs,4 yrs,"$160,000","$160,000",--,--
CGI Federal,"Fairfax, VA",Employee as of 01/23/2023,Remote,2 yrs,2 yrs,"$91,000","$91,000",--,--
Best Buy,"Bloomington, MN",Employee as of 01/23/2023,Office,3 yrs,3 yrs,"$99,000","$90,000",--,"$9,000"
hidden,"San Diego, CA",Employee as of 01/23/2023,Remote,1 yrs,2 yrs,"$105,000","$100,000",--,"$5,000"
JPMorgan Chase,"New York, NY",Employee as of 01/23/2023,Hybrid,2 yrs,2 yrs,"$86,000","$80,000",--,--
JPMorgan Chase,"Chicago, IL",Employee as of 01/23/2023,Hybrid,2 yrs,8 yrs,"$159,000","$138,000",--,"$21,000"
Alvaria,"Austin, TX",Employee as of 01/23/2023,Remote,4 yrs,4 yrs,"$80,000","$80,000",--,--
Citi,"Tampa, FL",Employee as of 01/23/2023,Office,2 yrs,2 yrs,"$60,000","$60,000",--,--
hidden,"Dublin, CA",Employee as of 01/23/2023,Hybrid,0-1 yrs,0-1 yrs,"$77,500","$72,500",--,"$5,000"
Diversified Insurance,"Salt Lake City, UT",Employee as of 01/23/2023,Hybrid,2 yrs,2 yrs,"$59,000","$56,000",--,"$3,000"
AbbVie,"North Chicago, IL",Employee as of 01/23/2023,Office,4 yrs,6 yrs,"$90,000","$83,000",--,"$7,000"
hidden,"Santa Clara, CA",Employee as of 01/23/2023,Hybrid,5-10 yrs,11+ yrs,"$300,000","$300,000",--,--
Cisco,"Raleigh, NC",Employee as of 01/23/2023,Hybrid,2 yrs,2 yrs,"$80,000","$76,000",--,"$4,000"
Accenture,"Arlington, VA",Employee as of 01/23/2023,Remote,1 yr,1 yr,"$68,000","$68,000",--,--
GoDadd,"San Francisco, CA",Employee as of 01/23/2023,Remote,3 yrs,7 yrs,"$188,000","$138,000","$50,000",--
Accenture,"San Jose, CA",Employee as of 01/23/2023,Hybrid,0 yr,1 yr,"$84,000","$80,000",--,"$4,000"
GoDaddy,"San Francisco, CA",Employee as of 01/22/2023,Remote,3 yrs,6 yrs,"$190,900","$140,900","$50,000",--
JPMorgan Chase,"Dallas, TX",Employee as of 01/22/2023,Office,3 yrs,7 yrs,"$195,000","$140,000",--,"$55,000"
ZS,"Chicago, IL",Employee as of 01/22/2023,Office,2 yrs,4 yrs,"$108,000","$99,000",--,"$9,000"
Accenture,"Atlanta, GA",Employee as of 01/22/2023,Office,2-4 yrs,5-10 yrs,"$92,000","$92,000",--,--
Amazon,"Tempe, AZ",Employee as of 01/22/2023,Hybrid,1 yrs,2 yrs,"$86,000","$65,000","$21,000",--
DocuSign,"Dallas, TX",Employee as of 01/22/2023,Remote,1 yrs,20 yrs,"$216,000","$216,000",--,--
CoStar Group,"Washington, DC",Employee as of 01/22/2023,Office,3 yrs,5 yrs,"$127,000","$116,000",--,"$11,000"
Barclays,"Whippany, NJ",Employee as of 01/22/2023,Hybrid,2 yrs,3 yrs,"$127,000","$120,000",--,"$7,000"
Medallia,"New York, NY",Employee as of 01/21/2023,Remote,1 yrs,2 yrs,"$88,000","$80,000",--,"$8,000"
Las Vegas Valley Water District,"Las Vegas, NV",Employee as of 01/21/2023,Hybrid,1 yrs,2 yrs,"$90,798","$85,798",--,"$5,000"
NinjaTrader,"Chicago, IL",Offer from 01/21/2023,Remote,0 yrs,4 yrs,"$130,000","$120,000",--,"$10,000"
Equifax,"St. Louis, MO",Employee as of 01/20/2023,Hybrid,1 yrs,5 yrs,"$115,000","$110,000",--,"$5,000"
Rapid7,"Boston, MA",Employee as of 01/20/2023,Office,1 yrs,2 yrs,"$80,000","$80,000",--,--
NYC Health + Hospitals,"New York, NY",Employee as of 01/20/2023,Hybrid,5 yrs,7 yrs,"$125,000","$125,000",--,--
Attentive,"New York, NY",Employee as of 01/20/2023,Remote,0-1 yrs,2-4 yrs,"$104,000","$100,000","$4,000",--
Deloitte,"Arlington, VA",Employee as of 01/20/2023,Office,2 yrs,10 yrs,"$105,000","$105,000",--,--
Walgreens Boots Alliance,"Chicago, IL",Employee as of 01/19/2023,Remote,2 yrs,3 yrs,"$76,320","$72,000",--,"$4,320"
Deloitte,"Boston, MA",Employee as of 01/19/2023,Office,1 yr,1 yr,"$90,000","$90,000",--,--
Amazon,"Seattle, WA",Employee as of 01/19/2023,Office,1 yr,1 yr,"$132,000","$90,000","$2,000","$40,000"
hidden,"New York, NY",Employee as of 01/19/2023,Hybrid,2-4 yrs,2-4 yrs,"$77,000","$77,000",--,--
T. Rowe Price,"Owings Mills, MD",Employee as of 01/19/2023,Hybrid,2 yrs,10 yrs,"$120,000","$120,000",--,--
BDO,"Houston, TX",Employee as of 01/19/2023,Hybrid,2 yrs,4 yrs,"$120,000","$120,000",--,--
McKinsey,"San Francisco, CA",Employee as of 01/19/2023,Hybrid,2 yrs,2 yrs,"$180,000","$150,000",--,"$30,000"
Slalom,"Chicago, IL",Employee as of 01/19/2023,Hybrid,2 yrs,2 yrs,"$103,680","$96,000",--,"$7,680"
A Place For Mom,"Overland Park, KS",Employee as of 01/19/2023,Remote,1 yrs,2 yrs,"$82,500","$75,000",--,"$7,500"
naviHealth,"Nashville, TN",Employee as of 01/19/2023,Remote,1 yrs,3 yrs,"$91,000","$86,000",--,"$5,000"
RTB House,"Dallas, TX",Offer from 01/18/2023,Office,0 yr,1 yr,"$60,000","$60,000",--,--
Valera Health,"New York, NY",Employee as of 01/18/2023,Remote,1 yrs,5 yrs,"$129,000","$120,000",--,"$9,000"
Bloomberg,"Princeton, NJ",Employee as of 01/18/2023,Hybrid,2-4 yrs,2-4 yrs,"$80,000","$80,000",--,--
Intuit,"Mountain View, CA",Employee as of 01/18/2023,Office,2 yrs,3 yrs,"$210,000","$150,000","$40,000","$20,000"
Goldman Sachs,"New York, NY",Employee as of 01/18/2023,Office,1 yr,1 yr,"$110,000","$90,000",--,"$20,000"
Zillow,"Lincoln, NE",Employee as of 01/18/2023,Remote,4 yrs,7 yrs,"$69,000","$69,000",--,--
hidden,"Verona, WI",Employee as of 01/18/2023,Office,1 yr,1 yr,"$73,000","$70,000",--,"$3,000"
The New York Times Company,"New York, NY",Offer from 01/18/2023,Remote,0 yrs,4 yrs,"$120,000","$120,000",--,--
Cigna,"Phoenix, AZ",Employee as of 01/18/2023,Remote,4 yrs,10 yrs,"$132,000","$120,000",--,"$12,000"
JPMorgan Chase,"New York, NY",Employee as of 01/18/2023,Hybrid,4 yrs,4 yrs,"$90,000","$90,000",--,--
Capital One,"Chicago, IL",Employee as of 01/17/2023,Office,9 yrs,9 yrs,"$155,000","$155,000",--,--
Sonepar USA,"Nashville, TN",Employee as of 01/17/2023,Remote,2 yrs,4 yrs,"$70,000","$70,000",--,--
Capital One,"Washington, DC",Employee as of 01/17/2023,Hybrid,1 yrs,7 yrs,"$150,000","$150,000",--,--
Capital One,"Plano, TX",Employee as of 01/17/2023,Hybrid,1 yrs,2 yrs,"$110,000","$105,000",--,"$5,000"
JPMorgan Chase,"Newark, DE",Employee as of 01/17/2023,Hybrid,1 yr,1 yr,"$111,000","$105,000",--,"$6,000"
MX,"Lehi, UT",Employee as of 01/17/2023,Hybrid,1 yr,1 yr,"$77,000","$72,000",--,"$5,000"
JPMorgan Chase,"Columbus, OH",Employee as of 01/17/2023,Office,28 yrs,28 yrs,"$94,000","$89,000",--,"$5,000"
Amazon,"Seattle, WA",Employee as of 01/17/2023,Office,5 yrs,5 yrs,"$130,000","$109,000","$21,000",--
Amazon,"Los Angeles, CA",Employee as of 01/17/2023,Remote,1 yrs,10 yrs,"$154,000","$120,000","$5,000","$29,000"
Facebook,"Salt Lake City, UT",Employee as of 01/17/2023,Remote,0 yrs,5 yrs,"$155,000","$125,000","$15,000","$15,000"
JPMorgan Chase,"Plano, TX",Employee as of 01/16/2023,Hybrid,7 yrs,18 yrs,"$127,000","$122,000",--,"$5,000"
NASA,"Washington, DC",Employee as of 01/16/2023,Hybrid,1 yrs,5 yrs,"$82,000","$82,000",--,--
Apollo Global Management,"El Segundo, CA",Employee as of 01/16/2023,Office,1 yrs,4 yrs,"$205,000","$150,000","$5,000","$50,000"
Accenture,"Dallas, TX",Employee as of 01/16/2023,Remote,2 yrs,2 yrs,"$87,600","$87,600",--,--
Cigna,"Philadelphia, PA",Employee as of 01/16/2023,Remote,0-1 yrs,5-10 yrs,"$100,000","$97,000",--,"$3,000"
NewYork-Presbyterian Hospital,"New York, NY",Employee as of 01/16/2023,Hybrid,0 yrs,3 yrs,"$135,000","$130,000",--,"$5,000"
Renault Group,"Nashville, TN",Employee as of 01/15/2023,Remote,4 yrs,10 yrs,"$115,000","$104,000",--,"$11,000"
Amazon,"Baltimore, MD",Employee as of 01/15/2023,Remote,1 yrs,3 yrs,"$150,000","$115,000","$20,000","$15,000"
Microsoft,"Chicago, IL",Offer from 01/15/2023,Office,0 yrs,3 yrs,"$100,000","$100,000",--,--
Tesla,"Fremont, CA",Offer from 01/15/2023,Office,0 yr,1 yr,"$150,750","$120,000","$17,500",y1
ZS,"Los Angeles, CA",Employee as of 01/15/2023,Office,2 yrs,5 yrs,"$135,000","$120,000",--,"$15,000"
Salesforce,"Indianapolis, IN",Employee as of 01/15/2023,Hybrid,2 yrs,10 yrs,"$81,000","$74,000",--,"$7,000"
Unity,"San Francisco, CA",Employee as of 01/15/2023,Office,3 yrs,4 yrs,"$160,000","$120,000","$40,000",--
Ernst and Young,"San Diego, CA",Employee as of 01/14/2023,Remote,1 yrs,5 yrs,"$150,000","$150,000",--,--
Qualtrics,"Seattle, WA",Employee as of 01/14/2023,Hybrid,1 yr,1 yr,"$104,500","$84,000","$12,500","$8,000"
Tree Top,"Selah, WA",Employee as of 01/14/2023,Hybrid,0 yrs,0 yrs,"$70,000","$70,000",--,--
hidden,"New York, NY",Offer from 01/13/2023,Hybrid,0 yrs,0 yrs,"$77,000","$70,000",--,"$7,000"
Boston Scientific,"Minneapolis, MN",Employee as of 01/13/2023,Hybrid,2 yrs,2 yrs,"$78,000","$78,000",--,--
Samsung,"Plano, TX",Employee as of 01/13/2023,Office,1 yrs,2 yrs,"$70,000","$70,000",--,--
Honor,"San Francisco, CA",Employee as of 01/13/2023,Remote,1 yrs,2 yrs,"$98,000","$98,000",--,--
AT&T,"Dallas, TX",Employee as of 01/13/2023,Remote,1 yrs,15 yrs,"$190,400","$170,000",--,"$20,400"
Delta Air Lines,"Atlanta, GA",Employee as of 01/13/2023,Office,2 yrs,2 yrs,"$39,520","$39,520",--,--
Ilitch Holdings,"Detroit, MI",Employee as of 01/13/2023,Remote,2 yrs,4 yrs,"$103,000","$103,000",--,--
HelloFresh,"New York, NY",Employee as of 01/13/2023,Remote,0 yrs,3 yrs,"$95,000","$95,000",--,--
Quantum Health,"Columbus, OH",Employee as of 01/13/2023,Hybrid,2 yrs,5 yrs,"$95,000","$95,000",--,--
Amazon,"Seattle, WA",Employee as of 01/12/2023,Office,1 yrs,4 yrs,"$111,000","$111,000",--,--
Amazon,"Boston, MA",Employee as of 01/12/2023,Remote,1 yr,1 yr,"$123,500","$85,000","$38,500",--
John Hancock,"Boston, MA",Employee as of 01/12/2023,Office,5 yrs,5 yrs,"$94,000","$94,000",--,--
Target,"New York, NY",Employee as of 01/12/2023,Remote,0 yrs,0 yrs,"$70,000","$70,000",--,--
Booz Allen Hamilton,"Washington, DC",Employee as of 01/12/2023,Hybrid,4 yrs,4 yrs,"$105,000","$105,000",--,--
Accenture,"Chicago, IL",Employee as of 01/12/2023,Office,2 yrs,2 yrs,"$100,000","$100,000",--,--
Keeco,"Bentonville, AR",Employee as of 01/12/2023,Office,1 yr,1 yr,"$52,000","$52,000",--,--
Wayfair,"Boston, MA",Employee as of 01/12/2023,Office,2 yrs,4 yrs,"$105,000","$105,000",--,--
Flexport,"San Francisco, CA",Employee as of 01/11/2023,Office,2 yrs,4 yrs,"$185,000","$150,000","$20,000","$15,000"
Remitly,"Seattle, WA",Employee as of 01/11/2023,Hybrid,1 yrs,4 yrs,"$190,000","$115,000","$75,000",--
Grubhub,"Philadelphia, PA",Employee as of 01/11/2023,Remote,2 yrs,2 yrs,"$85,000","$85,000",--,--
Adobe,"Lehi, UT",Employee as of 01/11/2023,Office,1 yrs,6 yrs,"$148,500","$120,000","$13,500","$15,000"
One Technologies,"Dallas, TX",Employee as of 01/11/2023,Hybrid,1 yrs,5 yrs,"$85,000","$85,000",--,--
Capital One,"West McLean, VA",Employee as of 01/11/2023,Office,2 yrs,2 yrs,"$120,000","$105,000",--,"$15,000"
Okcoin,"San Jose, CA",Employee as of 01/11/2023,Office,1 yrs,10 yrs,"$175,000","$175,000",--,--
JPMorgan Chase,"New York, NY",Employee as of 01/11/2023,Office,11 yrs,18 yrs,"$137,500","$137,500",--,--
Northwestern Mutual,"Milwaukee, WI",Employee as of 01/11/2023,Remote,3 yrs,5 yrs,"$121,000","$110,000",--,"$11,000"
Braze,"New York, NY",Employee as of 01/11/2023,Office,1 yrs,5 yrs,"$126,000","$99,000","$17,000","$10,000"
Applied Materials,"Santa Clara, CA",Employee as of 01/11/2023,Office,1 yrs,2 yrs,"$141,500","$125,000","$4,000","$12,500"
Capital One,"West McLean, VA",Offer from 01/11/2023,Office,0 yrs,0 yrs,"$113,500","$106,000",--,"$7,500"
Salesforce,"Washington, DC",Employee as of 01/11/2023,Hybrid,1 yrs,4 yrs,"$101,500","$92,250",--,"$9,250"
Deloitte,"New York, NY",Employee as of 01/10/2023,Hybrid,1 yrs,3 yrs,"$92,000","$92,000",--,--
hidden,"Los Angeles, CA",Employee as of 01/10/2023,Remote,0-1 yrs,2-4 yrs,"$90,000","$90,000",--,--
Amazon,"Seattle, WA",Employee as of 01/10/2023,Office,3 yrs,8 yrs,"$180,000","$160,000","$20,000",--
AARP,"Washington, DC",Employee as of 01/10/2023,Hybrid,1 yrs,3 yrs,"$115,500","$105,000",--,"$10,500"
Capital One,"West McLean, VA",Employee as of 01/10/2023,Hybrid,1 yrs,3 yrs,"$115,000","$110,000",--,"$5,000"
Shutterstock,"New York, NY",Employee as of 01/10/2023,Remote,1 yrs,4 yrs,"$163,500","$135,000","$15,000","$13,500"
DHL,"Cincinnati, OH",Employee as of 01/10/2023,Hybrid,1 yr,1 yr,"$70,000","$70,000",--,--
Bayer,"Luling, LA",Employee as of 01/10/2023,Hybrid,1 yrs,5 yrs,"$62,500","$62,500",--,--
LexisNexis,"Atlanta, GA",Employee as of 01/10/2023,Remote,1 yrs,3 yrs,"$75,000","$75,000",--,--
Fiserv,"Omaha, NE",Employee as of 01/10/2023,Office,2 yrs,2 yrs,"$61,000","$61,000",--,--
Indeed,"Austin, TX",Employee as of 01/10/2023,Hybrid,2 yrs,5 yrs,"$149,400","$110,000","$17,400","$22,000"
T-Mobile,"Seattle, WA",Employee as of 01/10/2023,Office,5 yrs,5 yrs,"$109,000","$96,000","$3,000","$10,000"
ConocoPhillips,"Houston, TX",Employee as of 01/10/2023,Hybrid,1 yr,1 yr,"$89,200","$79,200",--,"$10,000"
Bloomberg,"New York, NY",Employee as of 01/10/2023,Office,0 yrs,0 yrs,"$80,000","$80,000",--,--
Google,"New York, NY",Employee as of 01/10/2023,Office,3 yrs,15 yrs,"$318,000","$216,000","$70,000","$32,000"
Rexel Holdings USA,"Beaverton, OR",Employee as of 01/09/2023,Hybrid,1 yrs,5 yrs,"$80,000","$80,000",--,--
PNC,"Pittsburgh, PA",Employee as of 01/09/2023,Remote,3 yrs,3 yrs,"$100,000","$87,500",--,"$12,500"
Salesforce,"Seattle, WA",Employee as of 01/09/2023,Hybrid,2 yrs,4 yrs,"$121,000","$110,000",--,"$11,000"
hidden,"Boston, MA",Employee as of 01/09/2023,Hybrid,4 yrs,21 yrs,"$150,000","$125,000",--,"$25,000"
Peloton,"New York, NY",Employee as of 01/09/2023,Office,2 yrs,7 yrs,"$183,000","$153,000","$30,000",--
hidden,"San Antonio, TX",Employee as of 01/09/2023,Office,10 yrs,10 yrs,"$65,000","$65,000",--,--
Accenture,"Atlanta, GA",Employee as of 01/09/2023,Office,1 yrs,7 yrs,"$81,000","$81,000",--,--
Atlassian,"San Francisco, CA",Employee as of 01/09/2023,Remote,2 yrs,2 yrs,"$213,942","$142,680","$56,994","$14,268"
hidden,"Owatonna, MN",Employee as of 01/09/2023,Remote,11+ yrs,11+ yrs,"$84,410","$82,410",--,"$2,000"
McKinsey,"New York, NY",Employee as of 01/09/2023,Office,1 yr,1 yr,"$112,000","$112,000",--,--
McKinsey,"Chicago, IL",Employee as of 01/09/2023,Office,2 yrs,4 yrs,"$160,000","$130,000",--,"$30,000"
E15 Group,"Chicago, IL",Employee as of 01/09/2023,Office,1 yr,1 yr,"$70,000","$70,000",--,--
Salesforce,"Seattle, WA",Employee as of 01/09/2023,Office,1 yrs,4 yrs,"$130,000","$118,000",--,"$12,000"
Centene,"St. Louis, MO",Employee as of 01/09/2023,Remote,1 yrs,8 yrs,"$126,000","$121,000",--,"$5,000"
The Home Depot,"Atlanta, GA",Employee as of 01/09/2023,Remote,2 yrs,3 yrs,"$89,000","$80,000","$4,000","$5,000"
Russell Investments,"Seattle, WA",Employee as of 01/09/2023,Hybrid,2 yrs,9 yrs,"$95,000","$90,000",--,"$5,000"
hidden,"New York, NY",Employee as of 01/08/2023,Remote,0-1 yrs,5-10 yrs,"$140,000","$140,000",--,y1
